Month,Year,logVolume,Type,Volume
Mar,2019,8.78667642191873,conventional,611894320.15
May,2016,8.73705364734384,conventional,545825281.4
Jan,2017,8.71658237874678,conventional,520693766.75
Feb,2019,8.71331654938899,conventional,516792913.03
Jan,2019,8.68583312324301,conventional,485102064.88
Feb,2018,8.68273185800192,conventional,481650325.37
May,2015,8.67509691205537,conventional,473256853.62
Apr,2017,8.67354422627031,conventional,471567890.89
Jan,2016,8.66778200292022,conventional,465352448.05
Jul,2017,8.66236830927207,conventional,459587607.06
Feb,2017,8.66042579444015,conventional,457536551.4
Jul,2016,8.65694260134455,conventional,453881625.29
Dec,2017,8.64692446017472,conventional,443531490.74
Mar,2018,8.64123747071008,conventional,437761406.14
Feb,2016,8.62334060829372,conventional,420088321.52
Jan,2018,8.61783281914853,conventional,414794337.59
Apr,2019,8.61597691635574,conventional,413025548.25
May,2017,8.61449915553343,conventional,411622546.92
Aug,2015,8.6136547315735,conventional,410822982.89
Mar,2015,8.61185162306913,conventional,409120859.5
Jun,2016,8.6014631306613,conventional,399450648.59
Jun,2017,8.59839266157993,conventional,396636485.79
Apr,2016,8.59047088546937,conventional,389467197.46
Mar,2016,8.58039320004715,conventional,380533766.76
Jun,2015,8.57399341877362,conventional,374967320.01
Nov,2015,8.55851612994106,conventional,361839629.41
Aug,2016,8.55626275173827,conventional,359967052.32
Feb,2015,8.55069651953206,conventional,355382893.91
Sep,2016,8.54660483166398,conventional,352050391.54
Jul,2015,8.54416855878697,conventional,350081014.44
Oct,2016,8.54413777938468,conventional,350056204.31
Oct,2017,8.54110957687176,conventional,347623859.38
Mar,2017,8.53559063617875,conventional,343234264.46
Apr,2015,8.52648518661531,conventional,336112904.35
Aug,2017,8.51484559389283,conventional,327224335.08
Sep,2015,8.50986348318127,conventional,323491953.97
Dec,2016,8.50831565452147,conventional,322341078.4
Nov,2017,8.49663142583435,conventional,313784455.84
Jan,2015,8.49325725098826,conventional,311356008.43
Oct,2015,8.47722498166095,conventional,300071660.59
Dec,2015,8.46254047499127,conventional,290095154.64
Sep,2017,8.43635754110681,conventional,273122539.02
Nov,2016,8.40008152019547,conventional,251235797.49
May,2019,8.33159170811643,conventional,214581219
Mar,2019,7.34776789924844,organic,22272445.21
Apr,2017,7.26118287056864,organic,18246638.61
Jan,2019,7.25213741588925,organic,17870529.3
Mar,2018,7.24283087903157,organic,17491654.04
Feb,2019,7.22739003883545,organic,16880683.95
Apr,2019,7.21698693522396,organic,16481128.11
Feb,2018,7.20757704346549,organic,16127871.09
Dec,2017,7.19869472353729,organic,15801369.31
Mar,2017,7.19504453144753,organic,15669117.29
May,2016,7.18766872629803,organic,15405249.14
Jul,2017,7.18514828736712,organic,15316103.32
Oct,2017,7.1805300722592,organic,15154097.33
Jan,2018,7.1735576208401,organic,14912746
May,2017,7.14946528722688,organic,14107994.68
Feb,2017,7.1439713316913,organic,13930648.42
Jun,2017,7.13906528611602,organic,13774165.16
Jul,2016,7.12690118093503,organic,13393718.93
Jan,2017,7.10172187588933,organic,12639266.64
Apr,2016,7.09221358887651,organic,12365554.3
Sep,2017,7.06658669587918,organic,11656997.3
Aug,2017,7.04566148384482,organic,11108655.12
Jun,2016,7.03652931195666,organic,10877505.51
Aug,2016,7.03462503358533,organic,10829914.64
Nov,2017,7.03079608754906,organic,10734852.65
Mar,2016,7.02851600838483,organic,10678641.54
May,2015,7.02231251128823,organic,10527191.21
May,2019,7.02204884731758,organic,10520802
Sep,2016,7.01084604087672,organic,10252883.93
Oct,2016,7.00627773669901,organic,10145600.02
Jan,2016,7.00230940194846,organic,10053317.58
Mar,2015,6.97599259658271,organic,9462210.31
Dec,2016,6.95935976473885,organic,9106673.47
Nov,2016,6.9529637648079,organic,8973539.21
Feb,2016,6.9323459186882,organic,8557480.51
Aug,2015,6.92540656915644,organic,8421831.91
Apr,2015,6.90479616405229,organic,8031490.76
Nov,2015,6.88083684812763,organic,7600406.98
Feb,2015,6.8606197758585,organic,7254705.31
Jun,2015,6.83628762900605,organic,6859423.69
Jan,2015,6.82796351305529,organic,6729201.19
Jul,2015,6.82091428859301,organic,6620858.23
Dec,2015,6.77311161370297,organic,5930777.26
Sep,2015,6.75791801103855,organic,5726879.05
Oct,2015,6.75621381211473,organic,5704450.45
